"","clusters","features","pvalues","logFC","pct.1","pct.2","pvalues.adj","datasets","key"
"HKG-141","CellType2","HKG-14",0.8449810225982,-0.00174195726797777,1,1,1,"Mo","CellType2.HKG-14"
"HKG-48","CellType1","HKG-48",0.858689716123993,-0.00121883146445967,1,1,1,"Mo","CellType1.HKG-48"
"HKG-171","CellType2","HKG-17",0.873228459091635,-0.00199825666235931,1,1,1,"Mo","CellType2.HKG-17"
"HKG-371","CellType2","HKG-37",0.889000021970326,-0.00577332835679822,1,1,1,"Mo","CellType2.HKG-37"
"HKG-6","CellType1","HKG-6",0.928194650679753,-0.00517208593775464,1,1,1,"Mo","CellType1.HKG-6"
"g5","CellType2","g5",0,1.71142568831917,0.741,0.084,0,"Co","CellType2.g5"
"g7","CellType2","g7",1.45333227172404e-306,1.60714688098465,0.67,0.077,8.71999363034425e-305,"Co","CellType2.g7"
"g0","CellType1","g0",3.32236165687486e-271,1.55812836324289,0.621,0.075,1.99341699412491e-269,"Co","CellType1.g0"
"HKG-41","CellType1","HKG-41",0.0819300015413578,0.0189721586099356,1,1,1,"Co","CellType1.HKG-41"
"HKG-4","CellType1","HKG-4",0.0855687612794713,0.0210852572322713,1,1,1,"Co","CellType1.HKG-4"
"HKG-441","CellType2","HKG-44",0.110794586528825,0.0156895479225474,1,1,1,"Co","CellType2.HKG-44"
"HKG-211","CellType2","HKG-21",0.129024412920258,0.0150038003409927,1,1,1,"Co","CellType2.HKG-21"
"HKG-61","CellType2","HKG-6",0.137010105493906,0.0159440306522187,1,1,1,"Co","CellType2.HKG-6"
"HKG-45","CellType1","HKG-45",0.139192971814525,0.0257105857217903,1,1,1,"Co","CellType1.HKG-45"
"HKG-30","CellType1","HKG-30",0.164270991205377,0.0190937780221674,1,1,1,"Co","CellType1.HKG-30"
"HKG-8","CellType1","HKG-8",0.174306005304276,0.0131212517168748,1,1,1,"Co","CellType1.HKG-8"
"HKG-251","CellType2","HKG-25",0.174762306556036,0.0119971433379567,1,1,1,"Co","CellType2.HKG-25"
"HKG-25","CellType1","HKG-25",0.194477310517512,0.0198880021464571,1,1,1,"Co","CellType1.HKG-25"
"HKG-35","CellType1","HKG-35",0.200192249709777,0.0149746513824232,1,1,1,"Co","CellType1.HKG-35"
"HKG-33","CellType1","HKG-33",0.28852298754154,0.0211907131490685,1,1,1,"Co","CellType1.HKG-33"
"HKG-47","CellType1","HKG-47",0.290474183705879,0.0118708993038279,1,1,1,"Co","CellType1.HKG-47"
"HKG-81","CellType2","HKG-8",0.292823544692047,0.00516505283072632,1,1,1,"Co","CellType2.HKG-8"
"HKG-15","CellType1","HKG-15",0.314198509621863,0.0150120701039862,1,1,1,"Co","CellType1.HKG-15"
"HKG-491","CellType2","HKG-49",0.321207487878485,0.0191515742342112,1,1,1,"Co","CellType2.HKG-49"
"HKG-39","CellType1","HKG-39",0.331573347468688,0.0113297248816373,1,1,1,"Co","CellType1.HKG-39"
"g2","CellType1","g2",0.336266941340515,0.0292311472354227,0.3,0.288,1,"Co","CellType1.g2"
"HKG-101","CellType2","HKG-10",0.339543466661174,0.00518522329410942,1,1,1,"Co","CellType2.HKG-10"
"HKG-201","CellType2","HKG-20",0.345230025394757,0.00995107070258516,1,1,1,"Co","CellType2.HKG-20"
