"datasets","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","ligand.logFC","ligand.pvalues","ligand.pct.1","ligand.pct.2","ligand.upregulated_in","receptor.logFC","receptor.pvalues","receptor.pct.1","receptor.pct.2","receptor.upregulated_in","prob_ratio_Co_Mo"
"Mo","CellType1","CellType2","g3","g5",0.015,0,1,"g3 - g5 (Simulated)","Simulated1","Secreted Signaling","Simulated1",0.014,0.914,0.805,0.807,"Co",1.711,0,0.741,0.084,"Co",9.503
"Mo","CellType2","CellType1","g7","g0",0.001,0,2,"g7 - g0 (Simulated)","Simulated2","Secreted Signaling","Simulated2",1.607,0,0.67,0.077,"Co",1.558,0,0.621,0.075,"Co",97.895
"Mo","CellType2","CellType1","g8","g4",0.121,0,3,"g8 - g4 (Simulated)","Simulated3","Secreted Signaling","Simulated3",0.051,0.423,0.672,0.666,"Co",-0.02,0.474,0.746,0.754,"Mo",1.002
"Mo","CellType2","CellType1","g9","g4",0.077,0,4,"g9 - g4 (Simulated)","Simulated4","Secreted Signaling","Simulated4",0.014,0.899,0.408,0.412,"Co",-0.02,0.474,0.746,0.754,"Mo",0.982
"Co","CellType1","CellType2","g3","g5",0.141,0,1,"g3 - g5 (Simulated)","Simulated1","Secreted Signaling","Simulated1",0.014,0.914,0.805,0.807,"Co",1.711,0,0.741,0.084,"Co",9.503
"Co","CellType2","CellType1","g7","g0",0.099,0,2,"g7 - g0 (Simulated)","Simulated2","Secreted Signaling","Simulated2",1.607,0,0.67,0.077,"Co",1.558,0,0.621,0.075,"Co",97.895
"Co","CellType2","CellType1","g8","g4",0.121,0,3,"g8 - g4 (Simulated)","Simulated3","Secreted Signaling","Simulated3",0.051,0.423,0.672,0.666,"Co",-0.02,0.474,0.746,0.754,"Mo",1.002
"Co","CellType2","CellType1","g9","g4",0.076,0,4,"g9 - g4 (Simulated)","Simulated4","Secreted Signaling","Simulated4",0.014,0.899,0.408,0.412,"Co",-0.02,0.474,0.746,0.754,"Mo",0.982
